Month,searches
2012-01,0
2012-02,1
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,1
2013-02,0
2013-03,1
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,1
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,1
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,1
2017-02,0
2017-03,1
2017-04,1
2017-05,5
2017-06,9
2017-07,7
2017-08,12
2017-09,10
2017-10,13
2017-11,25
2017-12,78
2018-01,63
2018-02,16
2018-03,10
2018-04,7
2018-05,7
2018-06,5
2018-07,5
2018-08,4
2018-09,4
2018-10,4
2018-11,3
2018-12,4
2019-01,4
2019-02,3
2019-03,2
2019-04,3
2019-05,5
2019-06,10
2019-07,5
2019-08,4
2019-09,5
2019-10,4
2019-11,2
2019-12,4
2020-01,4
2020-02,4
2020-03,6
2020-04,7
2020-05,8
2020-06,5
2020-07,8
2020-08,9
2020-09,5
2020-10,7
2020-11,8
2020-12,14
2021-01,35
2021-02,43
2021-03,24
2021-04,62
2021-05,100
2021-06,37
2021-07,23
2021-08,30
2021-09,29
2021-10,44
2021-11,54
2021-12,38
2022-01,45
2022-02,36
2022-03,26
2022-04,24
2022-05,21
2022-06,15
2022-07,14
2022-08,14
2022-09,10
2022-10,10
2022-11,12
2022-12,9
